_id,ID,Veri Adi,Mahalle Adi,Boylam,Enlem,Elektrik,Otomatik Hesaplanan Alan (M2),Su,Toplam Alani (m2),Tur,WC/Kanalizasyon,Yol Durumu
1,151347491,Emniyettepe Parkı,Emniyettepe,28.953119063577244,41.0704280681936,Var,1557.42764668167,Var,1755,Park,Var,Var
2,151347492,"Emniyettepe Bölge Parkı  
(Aynı Zamanda TRANSFER alanıdır.)",Emniyettepe,28.951401273056764,41.06873175119619,Yok,12087.1580096129,Var,12523,Park,Var,Var
3,151347493,Fidan Parkı ve Yanı Boş Alan,Emniyettepe,28.955307005075355,41.07209637650781,Var,5280.43062943406,Var,5840,Boş Alan,Var,Var
4,151347494,Araphan Parkı,Emniyettepe,28.950061594547716,41.072623233106206,Var,1634.13518419489,Var,2235,Park,Var,Var
5,151347495,İBB Barış Manço Parkı,Akşemsettin,28.92739984261674,41.089840219095365,Var,28781.1406146698,Var,28559,Park,Yok,Var
6,151347496,Akşemsettin Parkı,Akşemsettin,28.92307737082524,41.08529963836953,Var,7546.74561111815,Var,7531,Park,Yok,Var
7,151347497,Şafak Sokak Parkı,Akşemsettin,28.93003088261724,41.08941882038573,Yok,16431.5550773276,Var,17932,Park,Yok,Var
8,151347498,Güneş  Parkı,Akşemsettin,28.921097348613234,41.08765796826595,Yok,596.190313342959,Yok,592,Park,Yok,Var
9,151347499,Veysel Karani Parkı ve Parseller Futbol Sahası,Akşemsettin,28.928773063512192,41.08086739743361,Var,11856.1995394873,Var,14808,Futbol Sahası,Var,Var
10,151347500,Necip Fazıl Kısakürek Parkı,Akşemsettin,28.92249436346455,41.09005700177873,Var,1804.72464979999,Var,2092,Park,Yok,Var
11,151347501,Erdemliler Parkı,Akşemsettin,28.92472054521111,41.089906665199344,Var,17840.1619459422,Var,17483,Park,Yok,Var
12,151347502,Fetih Parkı,Akşemsettin,28.925387408777688,41.084307715546856,Var,3340.89934255555,Var,3311,Park,Yok,Var
13,151347503,Lale Parkı,Akşemsettin,28.930864605596692,41.086558709189966,Var,2386.75163916103,Var,2547,Park,Yok,Var
14,151347504,Leylak Pakı,Akşemsettin,28.932405787839066,41.0869316950663,Var,2824.21226785332,Var,3017,Park,Yok,Var
15,151347505,Şehit Kubilay Parkı,Topçular,28.923125536960544,41.04279192188681,Yok,691.890233613551,Yok,692,Park,Yok,Var
16,151347506,Dedekorkut Parkı,Topçular,28.924782002592575,41.0386773872219,Var,541.881294764578,Var,541,Park,Yok,Var
17,151347507,Hicret Parkı,Topçular,28.92275239536871,41.040898180567275,Var,751.158525072038,Yok,695,Park,Yok,Var
18,151347508,Şehit Cemal Demir Parkı (Muhtarlık Yanı),Topçular,28.92438114736567,41.041380685614484,Var,875.214880861342,Var,875,Park,Yok,Var
19,151347509,İBB Şeyh Raşit Parkı,Topçular,28.924675822693384,41.04276682908021,Yok,221.252245947719,Yok,216,Park,Yok,Var
20,151347510,Edirnekapı Park (Fatih İlçesi'ne ait olacak),Topçular,28.93340308402686,41.02859477292054,Yok,35628.9846605162,Yok,35636,Park,Yok,Var
21,151347512,İBB Abdulyavedut Parkı,Defterdar,28.938196202937835,41.04103902061401,Var,11998.035106156,Var,11698,Park,Yok,Var
22,151347513,İBB Milli Egemenlik Parkı,Defterdar,28.935723721143784,41.03909863151839,Var,12501.7409054972,Var,11378,Park,Yok,Var
23,151347515,Otakçılar Anadolu İmam Hatip Lisesi Yanı Boş Arsa,Defterdar,28.937503082681143,41.03521417762879,Yok,1715.76177557185,Yok,1646,Boş Arsa,Yok,Var
24,151347516,Fethi Çelebi Parkı,Defterdar,28.932229877773718,41.03597038787216,Var,4049.49280551076,Var,3663,Park,Yok,Var
25,151347517,Dinarsu Halı Sahası,Defterdar,28.934779167935037,41.03599423027524,Var,3540.31518867612,Var,3568,Halı Saha,Var,Var
26,151347518,İBB İgdaş Parkı,Sakarya,28.944125213320717,41.07101205723959,Var,57551.7483290313,Var,55788,Park,Yok,Var
27,151347519,Şehit Kemal Özarar Parkı,Sakarya,28.93609050779676,41.06246468282127,Var,9582.56870225642,Var,9303,Park,Yok,Var
28,151347520,Aşçıbaşı Parkı,Nişancı,28.933799160243815,41.039493353026,Var,2122.19639796414,Var,2009,Park,Yok,Var
29,151347521,Amcazade Vakfı Arazisi,Nişancı,28.934097259394324,41.04455734986011,Yok,11220.7722012129,Yok,14122,Boş Arazi,Yok,Var
30,151347522,Bir Nefes Parkı,Rami Yeni,28.919167877167038,41.04943056700108,Var,12479.7885368764,Var,12595,Park,Var,Var
31,151347524,İBB Kutlu Doğum Parkı,Çırçır,28.939183058798065,41.07901973051369,Var,8841.40495490038,Var,8441,Park,Yok,Var
32,151347525,Akşesettin Şehit Hacı Ahmet Bahçesi Polis Merkezi Çevresi,Çırçır,28.934366866970908,41.08047385860082,Yok,5137.58830406889,Yok,5114,Boş Alan,Yok,Var
33,151347526,Şehit İbrahim Candemir Parkı,Çırçır,28.932500603441753,41.08040432807417,Var,3462.06222754344,Var,3438,Park,Var,Var
34,151347527,Uludağ Parkı,Çırçır,28.943838198942743,41.07953676869617,Var,4850.03265825659,Yok,4630,Park,Yok,Var
35,151347528,Ertuğrul Gazi Parkı,Çırçır,28.940828866689962,41.08310597228455,Var,2407.17914629186,Var,2555,Park,Yok,Var
36,151347529,Şehit Ali Bekdemir Parkı,Çırçır,28.94160170952832,41.0817061649098,Var,1366.97911415249,Var,1283,Park,Yok,Var
37,151347530,İBB Asım Yıldız Parkı,Çırçır,28.93689526978949,41.08768787355762,Var,12218.7626415044,Var,13111,Park,Yok,Var
38,151347531,Hüseyin Çatalkaş Parkı,Çırçır,28.939288621491478,41.08071840425734,Var,8258.2435535143,Var,7942,Park,Yok,Var
39,151347532,Şehit Adil Hışt Parkı,Çırçır,28.930978061849476,41.08283900407237,Var,2621.07977781072,Var,2512,Park,Yok,Var
40,151347533,Gaye Sokak Parkı,Çırçır,28.9333956248756,41.08585084774433,Var,598.176570559852,Yok,574,Park,Yok,Var
41,151347534,Düğmeciler Parkı,Düğmeciler,28.92306836404137,41.04566977754985,Var,1482.78589522094,Var,1528,Park,Yok,Var
42,151347535,İBB Şeyh Raşit Parkı,Düğmeciler,28.92283176121573,41.0450135967058,Var,24398.3146434482,Yok,27160,Park,Yok,Var
43,151347536,Esentepe Parkı,Esentepe,28.940287054746598,41.068748259593164,Var,671.245748881251,Var,688,Park,Var,Var
44,151347537,Yunus Emre Parkı,Esentepe,28.934457841252776,41.0690851179057,Var,3773.32107003406,Var,3250,Park,Var,Var.
45,151347538,Alibeyköy Pazar Yeri,Alibeyköy,28.94769440666282,41.07538546708684,Var,5026.94080587616,Var,5004,Pazar Yeri,Yok,Var
46,151347539,Osmanlı Parkı ve Spor Alanları,Alibeyköy,28.94692425719656,41.07304747515461,Var,72516.9777396377,Var,71381,Park,Var,Var
47,151347540,Şelale Çay Bahcesi,Alibeyköy,28.944840288772678,41.07920958515733,Var,9182.95478657773,Var,8858,Çay Bahçesi,Var,Var
48,151347541,Şehit Halit Aydın Parkı,Alibeyköy,28.944101396076153,41.08381669367503,Yok,18963.8288168814,Yok,18698,Park,Yok,Var
49,151347542,Mostar Parkı,Alibeyköy,28.948029867248703,41.08088839646022,Var,1781.48083328456,Var,1563,Park,Yok,Var
50,151347543,Alibeyköy Korusu,Alibeyköy,28.948714810938213,41.08031313039798,Var,11963.8210714478,Var,11323,Koruluk,Yok,Var
51,151347544,Güzeltepe Parkı ve İBB Gecekondu Mesken Parkları,Güzeltepe,28.958690402578913,41.08032174733526,Var,75889.6149675967,Var,74757,Park,Yok,Var
52,151347545,İBB Nurtepe Gezi Parkı,Güzeltepe,28.9595690692367,41.08362397853201,Var,58877.2776034074,Var,57872,Park,Yok,Var
53,151347546,İBB Çobançeşme Parkı,Güzeltepe,28.950743739760153,41.08116310585465,Var,18655.7816060253,Var,17733,Park,Yok,Var
54,151347548,Alibeyköy Fidanlığı Park ve Otoparkı,5.Levent,28.925914990098,41.09293439686279,Var,14253.5279481151,Var,13367,Park,Var,Var
55,151347549,Hüseyin Aksoy Parkı,Güzeltepe,28.961303433144085,41.080111121192374,Var,4108.84483229637,Var,3789,Park,Yok,Var
56,151347550,İBB Çobançeşme Korusu,5.Levent,28.95294468209942,41.084622346880856,Yok,19708.3059095861,Var,18868,Koru,Yok,Var
57,151347551,Özge Gündoğan Parkı,Mithatpaşa,28.913728233379267,41.15658470548191,Yok,888.459755152464,Yok,920,Park,Yok,Var
58,151347552,Fırat Sokak Parkı ve Yanı Boş Alan,Mithatpaşa,28.921943531508354,41.163643320907376,Var,20585.2778313858,Yok,20421,Boş Alan,Yok,Var
59,151347553,Dikili Ağaç Parkı,Rami Cuma,28.921091951590228,41.05169669912912,Var,1788.64181961445,Yok,2546,Park,Yok,Var
60,151347554,Karadolap Parkı Ve Spor Kompleksi,Karadolap,28.931950334723922,41.07434384254385,Var,15936.4811995439,Var,15752,Park,Var,Var
61,151347555,Şehit Soner Baykuş Parkı,Karadolap,28.932905587033307,41.078199221933076,Var,17144.4543087957,Var,17125,Park,Var,Var
62,151347556,Vahap Balçın Parkı,Karadolap,28.928526550938315,41.0781548597596,Var,2798.82854322717,Var,2338,Park,Yok,Var
63,151347557,Küheylan Sokak Parkı,Karadolap,28.931292922110913,41.075518093840515,Var,2240.50940964557,Var,2240,Park,Yok,Var
64,151347558,Şehit Adem Yaşari Parkı,Karadolap,28.938241618151626,41.07218551172674,Var,2090.61708370596,Var,1820,Park,Yok,Var
65,151347559,Alibeyköy Mesleki ve Teknik Anadolu Lisesi Bahçesi,Karadolap,28.929122397656222,41.07199586933751,Var,6676.20947038475,Var,6245,Park,Yok,Var
66,151347560,Kılıçaslan İmam Hatip Ortaokulu Bahçesi,Karadolap,28.940141553305082,41.07206262730608,Var,3494.4136165313,Var,3369,Okul,Yok,Var
67,151347561,Kemerburgaz Ağaçlı Çocuk Ve Gençlik Merkezi Bahçesi,Ağaçlı,28.873607907365233,41.263490685269446,Var,18133.5859722233,Var,17787,park,Var,Var
68,151347562,Ağaçlı Köyü Karaağaç Sokak ile Kavak Sokak Arası Yeşil Alan,Ağaçlı,28.86950556544742,41.268071771638084,Var,55529.8337598685,Yok,55542,Yeşil Alan,Yok,Var
69,151347564,İBB Teke Parkı,Merkez,28.937468307544783,41.054671920593094,Var,32265.3066923209,Var,27878,Park,Var,Var
70,151347565,İdris Bitlisi Parkı,Merkez,28.933345294207356,41.05644618500318,Var,4384.96597097319,Var,4115,Park,Yok,Var
71,151347566,Pirinçci Köyü Futbol Alanı,Pirinççi,28.85233098861171,41.16481985303345,Var,3938.49915926903,Yok,3654,Spor Tesisi,Yok,Var
72,151347567,Pirinççi Köyü Ağaçkakan Sokak No:7 Kurban Kesim Yeri,Pirinççi,28.821143247001533,41.13734864495459,Var,20887.8251516009,Yok,20732,Kurban Kesim Yeri,Yok,Var
73,151347568,Osman Yumuk Spor Tesisleri  ( Aynı Zamanda TRANSFER ALANIDIR.),Mimar Sinan,28.926463405662698,41.15870735615414,Var,17253.4143572692,Var,17170,Spor Tesisi,Var,Var
74,151347569,Orman İşletme Müdürlüğü Bahçesi.,Mimar Sinan,28.91599804651815,41.15620413677986,Var,3860.93814335279,Var,3685,Tesis,Var,Var
75,151347570,Halk Pazarı Parkı,Göktürk Merkez,28.889452008395924,41.178736406638386,Var,1337.7297949763,Var,1328,Park,Var,Var
76,151347571,Özgecan Sağlıklı Yaşam Alanı,Göktürk Merkez,28.8901180454493,41.17124353796173,Var,4549.23906881409,Var,4550,Yaşam Alanı,Var,Var
77,151347572,Kaynak Sokak İle Kale Sokak Arası Boş Alan,Göktürk Merkez,28.883305344416108,41.186832560682774,Yok,22349.3553591923,Yok,22164,Boş Alan,Yok,Var
78,151347573,Göktürk Ensar Camii Yanı Boş Alan,Göktürk Merkez,28.87525320900553,41.18312431086012,Yok,2242.21395181119,Yok,2247,Boş Alan,Yok,Var
79,151347574,Mehmet Akif Ersoy Parkı.,Göktürk Merkez,28.893456225236847,41.176093839910315,Var,4548.81346347928,Var,3784,Park,Yok,Var
80,151347575,Çamlık 1 Parkı,Göktürk Merkez,28.89290890604628,41.17746721573591,Yok,672.727256111801,Var,592,Park,Yok,Var
81,151347576,Çamlık 2 Parkı,Göktürk Merkez,28.892665433320744,41.17697225358409,Yok,1485.58138710167,Var,1265,Park,Yok,Var
82,151347577,İstanbul Caddesi Kumlu Geçit Sokak Fen İşleri Şantiyesi Yanı Boş Arazi,Göktürk Merkez,28.878223497814858,41.18585267851044,Yok,12680.3467749842,Yok,12683,Boş Arazi,Yok,Var
83,151347578,Kemer Country Site İçi Yeşil Alan,Göktürk Merkez,28.899362885484372,41.177966412354955,Var,174026.521369759,Var,174063,Yeşil Alan,Var,Var
84,151347579,Göktürk Futbol Sahası,Göktürk Merkez,28.87468351761704,41.18811211998127,Var,9782.79744904814,Var,9784,Futbol Sahası,Var,Var
85,151347580,Gençlik Parkı,Yeşilpınar,28.920215157808766,41.072995728743784,Var,4649.90391923673,Var,4378,Park,Yok,Var
86,151347581,Mustafa Parlakkılıç Mesire Alanı,Yeşilpınar,28.917651559751835,41.0773157835651,Var,1609.09122749954,Var,1488,Park,Var,Var
87,151347582,Çamlık Parkı,Yeşilpınar,28.924544962094103,41.07625081013434,Var,1767.31490268954,Var,1511,Park,Yok,Var
88,151347583,Yeşilpınar Bölge Parkı,Yeşilpınar,28.921375075644495,41.08118527863256,Var,20210.7663764878,Var,19167,Park,Var,Var
89,151347584,Şehit Metin Kaya Parkı,Yeşilpınar,28.92469888167794,41.08000920094721,Var,4956.5527426526,Var,4622,Park,Yok,Var
90,151347585,Pınar Camii Bahçesi,Yeşilpınar,28.921204731094946,41.074413371348854,Var,5718.44817806908,Var,5682,Camii,Var,Var
91,151347586,Şehit Şerife Bacı Parkı,Yeşilpınar,28.919521311236558,41.08100707966028,Var,4594.22242409298,Var,4553,Park,Yok,Var
92,151347587,Odayeri Nalan Sokak Parkı,Odayeri,28.85237058750585,41.23520200436755,Var,1461.87773144245,Yok,1452,Park,Yok,Var
93,151347588,Arif Paşa Parkı,İslambey,28.927008793864854,41.04925194579513,Var,1475.61095154448,Var,1573,Park,Yok,Var
94,151347589,Hz. Halid Parkı,İslambey,28.92904394663488,41.04897356186019,Var,4357.27690982446,Var,4182,Park,Yok,Var
95,151347590,Eyüp Stadı,İslambey,28.929820692371347,41.04748069316197,Var,15187.9764054436,Var,15191,Stadyum,Var,Var
96,151347591,İslambey Bostancı Sk Toplanma Alanı,İslambey,28.927248048881953,41.051908579406955,Yok,1538.50513533875,Yok,1668,Meydan,Yok,Var
97,151347592,Argaç Sokak Parkı,İslambey,28.926585216598994,41.052574646388685,Yok,1059.43033892289,Yok,1239,Park,Yok,Var
98,151347593,Akpınar Parkı.,Akpınar,28.81277643097842,41.278761669561284,Var,10908.6003719494,Yok,10534,Park,Yok,Var
99,151347594,Akpınar Köyü Kızılırmak Sokak ile Eğridir Sokak Arası Yeşil Alan,Akpınar,28.809584514675336,41.28242081226126,Var,18601.3415674083,Yok,18605,Yeşil Alan,Yok,Var
100,151347595,İhsaniye Köyü Futbol Sahası Ve Etrafı,İhsaniye,28.807428993078712,41.24144761088679,Var,19334.9210675918,Yok,19339,Futbol Sahası,Yok,Var
101,151347597,Işıklar Köyü Hazar Sokak ile Rüya Sokak Sokak Arası Boş Alan,Işıklar,28.824334673688902,41.23045937787423,Var,12728.2927453592,Var,12239,Boş Alan,Var,Var
102,151347598,Eyüp Kültür Sanat Merkezi Bahçesi,Merkez,28.943947289445337,41.060675510172054,Var,23643.4832742009,Var,22605,Park,Var,Var
103,151347599,İBB (Derne) Gabdulla Tukay Parkı,Merkez,28.944112433527724,41.062950002850364,Var,101046.437313712,Var,99605,Park,Yok,Var
104,151347601,İski Yanı Boş Alanı,Güzeltepe,28.949125388382654,41.07303015753183,Var,10749.9655048266,Var,10288,Boş Alan,Var,Var
105,151347602,Sevinç Köprüsü Yanı Yeşil Alan,Güzeltepe,28.94988716193837,41.074977227609246,Var,7162.23062521359,Var,6663,Yeşil Alan,Yok,Var
106,151347604,Dikiliağaç Parkı,İslambey,28.921854199041565,41.05270976080284,Var,3058.50007917675,Yok,3235,Park,Yok,Var
107,151347618,Haliç Parkı,Defterdar,28.942863344668808,41.04056740949155,Var,27211.0539562143,Var,27216,Park,Var,Var
108,151439981,Rami Pazar Alanı,Rami Yeni,28.91825213777221,41.048491477803054,Var,25451.6400369406,Var,25000,Pazar Alanı,Var,Var
109,151440559,Çiftalan Köyü Muhtarlık Önü Boş Alan,Çiftalan,28.910568892320455,41.25505931569136,Var,475.352834219579,Var,400,Boş Alan,Var,Var
